commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
34.067,2017-02-17 11:10:00,1,3412.4,2017-02-17 13:10:00,2,3401.0,-158.06700000000092,10.0,IF88:CTP,68134.0,10
34.441,2017-02-28 10:05:00,3,3440.2,2017-03-01 10:25:00,4,3448.0,-122.44100000000182,10.0,IF88:CTP,68882.0,-10
34.157000000000004,2017-03-21 14:30:00,5,3421.6,2017-03-22 10:55:00,6,3409.8,-162.15699999999728,10.0,IF88:CTP,68314.0,10
34.287,2017-03-23 13:25:00,7,3422.4,2017-03-23 14:55:00,8,3435.0,-170.2869999999991,10.0,IF88:CTP,68574.0,-10
34.717,2017-03-28 09:30:00,9,3472.0,2017-03-28 09:35:00,10,3471.4,-38.71700000000091,10.0,IF88:CTP,69434.0,-10
34.678,2017-03-28 09:35:00,11,3471.4,2017-03-28 10:10:00,12,3464.2,-116.67800000000273,10.0,IF88:CTP,69356.0,10
34.555,2017-03-28 10:10:00,13,3464.2,2017-03-31 13:45:00,14,3446.8,129.44499999999636,10.0,IF88:CTP,69110.0,-10
34.415,2017-03-31 13:45:00,15,3446.8,2017-04-19 10:30:00,16,3436.2,-150.41500000000363,10.0,IF88:CTP,68830.0,10
34.19,2017-04-25 11:05:00,17,3424.4,2017-04-27 09:40:00,18,3413.6,-152.19000000000182,10.0,IF88:CTP,68380.0,10
33.677,2017-05-11 14:25:00,19,3342.4,2017-05-17 14:45:00,20,3393.0,462.32299999999907,10.0,IF88:CTP,67354.0,10
33.980000000000004,2017-05-17 14:45:00,21,3393.0,2017-05-22 10:15:00,22,3403.0,-143.98000000000002,10.0,IF88:CTP,67960.0,-10
33.902,2017-05-23 13:35:00,23,3396.4,2017-05-24 09:50:00,24,3384.0,-167.9020000000009,10.0,IF88:CTP,67804.0,10
33.937,2017-05-24 11:20:00,25,3401.4,2017-05-24 13:25:00,26,3386.0,-197.93700000000092,10.0,IF88:CTP,67874.0,10
34.781,2017-06-01 13:30:00,27,3486.2,2017-06-02 10:40:00,28,3470.0,-206.7809999999982,10.0,IF88:CTP,69562.0,10
34.712,2017-06-06 09:50:00,29,3478.4,2017-06-06 11:25:00,30,3464.0,-188.7120000000009,10.0,IF88:CTP,69424.0,10
35.374,2017-06-19 09:45:00,31,3521.6,2017-06-23 09:40:00,32,3553.2,270.62599999999907,10.0,IF88:CTP,70748.0,10
35.63,2017-06-23 09:40:00,33,3553.2,2017-06-23 10:55:00,34,3572.8,-241.63000000000363,10.0,IF88:CTP,71260.0,-10
36.138,2017-06-23 14:40:00,35,3582.8,2017-07-17 09:45:00,36,3644.8,573.862,10.0,IF88:CTP,72276.0,10
36.51,2017-07-17 09:45:00,37,3644.8,2017-07-17 10:00:00,38,3657.2,-170.50999999999635,10.0,IF88:CTP,73020.0,-10
37.341,2017-07-21 14:20:00,39,3728.0,2017-07-24 11:05:00,40,3740.2,-169.3409999999982,10.0,IF88:CTP,74682.0,-10
37.608000000000004,2017-08-17 10:40:00,41,3684.0,2017-08-29 13:25:00,42,3837.6,1488.3919999999991,10.0,IF88:CTP,75216.0,10
38.465,2017-08-29 13:25:00,43,3837.6,2017-08-30 09:40:00,44,3855.4,-226.46500000000182,10.0,IF88:CTP,76930.0,-10
38.358000000000004,2017-09-01 13:35:00,45,3828.6,2017-09-04 13:15:00,46,3843.0,-192.3580000000009,10.0,IF88:CTP,76716.0,-10
38.471000000000004,2017-09-06 09:50:00,47,3841.2,2017-09-06 13:15:00,48,3853.0,-166.47100000000182,10.0,IF88:CTP,76942.0,-10
38.452,2017-09-06 13:15:00,49,3853.0,2017-09-07 14:15:00,50,3837.4,-204.4519999999991,10.0,IF88:CTP,76904.0,10
38.882,2017-10-10 10:25:00,51,3882.0,2017-10-11 09:35:00,52,3894.4,-172.88200000000091,10.0,IF88:CTP,77764.0,-10
39.926,2017-11-01 13:15:00,53,3986.8,2017-11-01 14:15:00,54,3998.4,-165.92599999999908,10.0,IF88:CTP,79852.0,-10
40.496,2017-11-08 14:30:00,55,4042.2,2017-11-09 14:15:00,56,4057.0,-198.49600000000183,10.0,IF88:CTP,80992.0,-10
40.902,2017-11-09 14:35:00,57,4062.4,2017-11-14 13:35:00,58,4118.0,505.09799999999905,10.0,IF88:CTP,81804.0,10
41.304,2017-11-14 13:35:00,59,4118.0,2017-11-20 14:45:00,60,4142.8,-299.3040000000018,10.0,IF88:CTP,82608.0,-10
41.207,2017-11-23 10:35:00,61,4221.2,2017-12-01 10:30:00,62,4020.2,1958.793,10.0,IF88:CTP,82414.0,-10
40.072,2017-12-01 10:30:00,63,4020.2,2017-12-01 11:10:00,64,3994.2,-310.072,10.0,IF88:CTP,80144.0,10
39.739000000000004,2017-12-08 10:05:00,65,3985.0,2017-12-08 11:00:00,66,3962.8,-271.7389999999982,10.0,IF88:CTP,79478.0,10
40.365,2017-12-13 14:00:00,67,4041.6,2017-12-14 09:55:00,68,4031.4,-152.3649999999982,10.0,IF88:CTP,80730.0,10
40.312,2017-12-14 09:55:00,69,4031.4,2017-12-14 14:30:00,70,4031.0,-46.31199999999909,10.0,IF88:CTP,80624.0,-10
40.231,2017-12-14 14:30:00,71,4031.0,2017-12-15 09:35:00,72,4015.2,-208.2310000000018,10.0,IF88:CTP,80462.0,10
40.111000000000004,2017-12-15 09:35:00,73,4015.2,2017-12-18 10:00:00,74,4007.0,31.888999999998177,10.0,IF88:CTP,80222.0,-10
39.963,2017-12-18 10:00:00,75,4007.0,2017-12-18 11:25:00,76,3985.6,-263.9630000000009,10.0,IF88:CTP,79926.0,10
40.717,2017-12-22 14:05:00,77,4075.4,2017-12-22 14:40:00,78,4068.0,-124.71700000000091,10.0,IF88:CTP,81434.0,10
40.812,2017-12-22 14:40:00,79,4068.0,2017-12-25 09:35:00,80,4094.4,-314.8120000000009,10.0,IF88:CTP,81624.0,-10
40.511,2017-12-26 10:10:00,81,4063.0,2017-12-28 14:35:00,82,4039.2,187.48900000000182,10.0,IF88:CTP,81022.0,-10
42.13,2017-12-28 14:35:00,83,4039.2,2018-01-29 10:10:00,84,4386.8,3423.8700000000035,10.0,IF88:CTP,84260.0,10
43.245,2018-01-29 10:10:00,85,4386.8,2018-02-02 10:35:00,86,4262.2,1192.7550000000037,10.0,IF88:CTP,86490.0,-10
42.532000000000004,2018-02-02 10:35:00,87,4262.2,2018-02-05 09:35:00,88,4244.2,-232.532,10.0,IF88:CTP,85064.0,10
40.550000000000004,2018-02-07 09:40:00,89,4190.0,2018-02-14 13:10:00,90,3920.0,2649.45,10.0,IF88:CTP,81100.0,-10
39.731,2018-02-14 13:10:00,91,3920.0,2018-03-08 09:50:00,92,4026.2,1012.2689999999982,10.0,IF88:CTP,79462.0,10
40.368,2018-03-08 09:50:00,93,4026.2,2018-03-08 10:35:00,94,4047.4,-262.3680000000027,10.0,IF88:CTP,80736.0,-10
40.386,2018-03-08 10:35:00,95,4047.4,2018-03-16 14:55:00,96,4029.8,-226.3859999999991,10.0,IF88:CTP,80772.0,10
39.56,2018-03-21 14:30:00,97,4045.0,2018-03-27 14:25:00,98,3867.0,1730.44,10.0,IF88:CTP,79120.0,-10
38.488,2018-03-27 14:25:00,99,3867.0,2018-03-28 11:20:00,100,3830.6,-412.4880000000009,10.0,IF88:CTP,76976.0,10
38.735,2018-04-04 09:40:00,101,3861.2,2018-04-04 10:50:00,102,3885.8,-294.73500000000365,10.0,IF88:CTP,77470.0,-10
38.508,2018-04-04 13:55:00,103,3863.2,2018-04-04 14:45:00,104,3838.4,-296.50799999999725,10.0,IF88:CTP,77016.0,10
38.477000000000004,2018-04-09 11:25:00,105,3862.4,2018-04-09 14:25:00,106,3833.0,-342.4770000000009,10.0,IF88:CTP,76954.0,10
39.276,2018-04-13 09:40:00,107,3918.4,2018-05-21 09:35:00,108,3936.8,-233.27600000000092,10.0,IF88:CTP,78552.0,-10
38.97,2018-05-22 09:55:00,109,3900.6,2018-05-22 10:05:00,110,3893.4,-120.96999999999818,10.0,IF88:CTP,77940.0,10
38.581,2018-05-22 10:05:00,111,3893.4,2018-05-28 10:25:00,112,3822.8,657.4189999999991,10.0,IF88:CTP,77162.0,-10
38.139,2018-05-28 10:25:00,113,3822.8,2018-05-29 11:20:00,114,3805.0,-226.13900000000183,10.0,IF88:CTP,76278.0,10
37.547000000000004,2018-06-04 09:35:00,115,3763.8,2018-06-08 14:15:00,116,3745.6,-229.54700000000273,10.0,IF88:CTP,75094.0,10
37.994,2018-06-14 10:00:00,117,3803.8,2018-06-14 10:15:00,118,3795.0,-135.99400000000182,10.0,IF88:CTP,75988.0,10
35.718,2018-06-14 10:15:00,119,3795.0,2018-07-05 09:35:00,120,3348.6,4418.282000000001,10.0,IF88:CTP,71436.0,-10
33.274,2018-07-05 09:35:00,121,3348.6,2018-07-05 13:00:00,122,3306.2,-467.2740000000009,10.0,IF88:CTP,66548.0,10
33.181,2018-08-09 09:45:00,123,3327.4,2018-08-15 10:55:00,124,3308.8,-229.18099999999907,10.0,IF88:CTP,66362.0,10
32.914,2018-08-22 13:20:00,125,3295.2,2018-08-22 13:50:00,126,3287.6,-118.91399999999909,10.0,IF88:CTP,65828.0,10
33.026,2018-08-22 13:50:00,127,3287.6,2018-08-23 09:35:00,128,3317.6,-343.026,10.0,IF88:CTP,66052.0,-10
33.474000000000004,2018-08-29 09:45:00,129,3377.2,2018-09-03 14:35:00,130,3317.6,552.525999999999,10.0,IF88:CTP,66948.0,-10
33.047000000000004,2018-09-03 14:35:00,131,3317.6,2018-09-05 14:20:00,132,3291.8,-301.0469999999973,10.0,IF88:CTP,66094.0,10
32.097,2018-09-12 13:45:00,133,3220.8,2018-09-12 14:35:00,134,3198.6,-264.0970000000027,10.0,IF88:CTP,64194.0,10
34.198,2018-09-27 13:15:00,135,3408.2,2018-09-28 09:35:00,136,3431.4,-276.1980000000027,10.0,IF88:CTP,68396.0,-10
32.641,2018-10-08 09:35:00,137,3362.0,2018-10-16 10:00:00,138,3166.2,1915.3590000000017,10.0,IF88:CTP,65282.0,-10
31.516000000000002,2018-10-16 10:00:00,139,3166.2,2018-10-16 10:40:00,140,3137.0,-333.5159999999982,10.0,IF88:CTP,63032.0,10
31.73,2018-10-26 11:05:00,141,3181.8,2018-10-26 11:20:00,142,3164.2,-217.73000000000363,10.0,IF88:CTP,63460.0,10
31.394,2018-10-26 11:20:00,143,3164.2,2018-10-30 14:45:00,144,3114.6,454.6059999999991,10.0,IF88:CTP,62787.99999999999,-10
31.853,2018-10-30 14:45:00,145,3114.6,2018-11-05 14:35:00,146,3256.0,1372.1470000000008,10.0,IF88:CTP,63706.0,10
32.716,2018-11-05 14:35:00,147,3256.0,2018-11-16 13:00:00,148,3287.2,-354.7159999999982,10.0,IF88:CTP,65432.0,-10
31.666000000000004,2018-11-30 11:00:00,149,3157.8,2018-11-30 14:40:00,150,3175.4,-217.6659999999991,10.0,IF88:CTP,63332.00000000001,-10
32.583,2018-12-04 14:30:00,151,3270.2,2018-12-05 09:35:00,152,3246.4,-280.58299999999724,10.0,IF88:CTP,65166.0,10
31.096000000000004,2018-12-14 10:10:00,153,3195.4,2018-12-25 14:05:00,154,3023.8,1674.903999999999,10.0,IF88:CTP,62192.00000000001,-10
30.106000000000005,2018-12-25 14:05:00,155,3023.8,2018-12-26 13:10:00,156,2997.4,-304.1060000000009,10.0,IF88:CTP,60212.00000000001,10
30.043999999999997,2018-12-26 13:40:00,157,2995.2,2018-12-26 14:05:00,158,3013.6,-224.0440000000009,10.0,IF88:CTP,60087.99999999999,-10
30.028999999999996,2018-12-26 14:05:00,159,3013.6,2018-12-27 14:35:00,160,2992.2,-254.0290000000009,10.0,IF88:CTP,60057.99999999999,10
30.095,2018-12-28 10:10:00,161,3003.6,2018-12-28 10:25:00,162,3015.4,-158.09500000000182,10.0,IF88:CTP,60190.0,-10
30.139,2018-12-28 10:25:00,163,3015.4,2019-01-02 09:30:00,164,3012.4,-70.139,10.0,IF88:CTP,60278.0,10
29.916,2019-01-03 10:05:00,165,3004.2,2019-01-03 10:25:00,166,2979.0,-291.9159999999982,10.0,IF88:CTP,59832.0,10
30.775000000000002,2019-01-10 09:30:00,167,3069.0,2019-01-10 11:20:00,168,3086.0,-210.775,10.0,IF88:CTP,61550.0,-10
30.876,2019-01-10 11:25:00,169,3091.6,2019-01-10 13:35:00,170,3083.6,-120.876,10.0,IF88:CTP,61752.0,10
30.918999999999997,2019-01-10 13:35:00,171,3083.6,2019-01-11 09:50:00,172,3100.2,-206.91899999999907,10.0,IF88:CTP,61837.99999999999,-10
32.635,2019-01-15 09:45:00,173,3084.0,2019-02-21 14:20:00,174,3443.0,3547.365,10.0,IF88:CTP,65270.0,10
34.516,2019-02-21 14:20:00,175,3443.0,2019-02-22 13:20:00,176,3460.2,-216.51599999999817,10.0,IF88:CTP,69032.0,-10
35.928,2019-02-22 13:20:00,177,3460.2,2019-03-12 14:20:00,178,3725.4,2606.072000000003,10.0,IF88:CTP,71856.0,10
37.352000000000004,2019-03-12 14:20:00,179,3725.4,2019-03-12 14:35:00,180,3745.0,-243.3519999999991,10.0,IF88:CTP,74704.0,-10
37.288000000000004,2019-03-12 14:35:00,181,3745.0,2019-03-13 10:35:00,182,3712.6,-371.2880000000009,10.0,IF88:CTP,74576.0,10
37.613,2019-03-13 13:50:00,183,3743.8,2019-03-15 10:50:00,184,3778.8,-397.613,10.0,IF88:CTP,75226.0,-10
37.849000000000004,2019-03-15 13:40:00,185,3742.8,2019-03-20 09:35:00,186,3827.0,794.1509999999981,10.0,IF88:CTP,75698.0,10
38.343,2019-03-20 09:35:00,187,3827.0,2019-03-20 09:50:00,188,3841.6,-194.3429999999991,10.0,IF88:CTP,76686.0,-10
38.363,2019-03-20 09:50:00,189,3841.6,2019-03-20 10:10:00,190,3831.0,-154.3629999999991,10.0,IF88:CTP,76726.0,10
38.445,2019-03-20 10:10:00,191,3831.0,2019-03-20 11:05:00,192,3858.0,-318.445,10.0,IF88:CTP,76890.0,-10
38.376,2019-03-21 14:10:00,193,3849.2,2019-03-22 10:20:00,194,3826.0,-280.37599999999816,10.0,IF88:CTP,76752.0,10
37.852000000000004,2019-03-22 13:55:00,195,3829.4,2019-03-25 14:58:00,LastDay,3741.0,836.1480000000009,10.0,IF88:CTP,75704.0,-10
